PLD (Å),LCD (Å),Sacc (m2/g),Porosity,KN2 (mol/kg/Pa),%C,%H,%N,%O,%Metalloid,%Halogen,N2-1 bar (mol/kg)
22.015,22.086,1488.31,0.658,1.68E-06,62.5,30,7.5,0,0,0,0.163
20.389,20.54,1313.85,0.636,1.65E-06,64.28571429,28.57142857,7.142857143,0,0,0,0.157
37.957,73.677,6558.67,0.956,6.51E-06,57.14285714,28.57142857,14.28571429,0,0,0,0.636
36.667,71.18,4953.92,0.948,4.51E-06,57.14285714,0,14.28571429,0,0,0.285714286,0.436
10.766,17.442,5113.21,0.82,4.30E-06,59.73154362,32.2147651,8.053691275,0,0,0,0.424
10.643,17.82,5204.9,0.826,4.16E-06,59.06040268,32.2147651,8.053691275,0,0.006711409,0,0.413
33.224,35.802,5804.9,0.936,4.45E-06,57.14285714,15.87301587,14.28571429,0,0,0.126984127,0.441
31.728,34.25,5633.65,0.934,4.38E-06,57.14285714,12.6984127,14.28571429,0,0,0.158730159,0.439
33.193,35.468,6252.49,0.938,4.79E-06,57.14285714,22.22222222,14.28571429,0,0,0.063492063,0.479
33.014,33.831,6064.18,0.937,4.58E-06,57.14285714,19.04761905,14.28571429,0,0,0.095238095,0.455
33.366,35.898,5444.79,0.933,4.19E-06,57.14285714,9.523809524,14.28571429,0,0,0.19047619,0.42
33.423,34.215,5322.17,0.932,4.15E-06,57.14285714,6.349206349,14.28571429,0,0,0.222222222,0.41
31.622,34.56,5517.46,0.934,4.37E-06,57.14285714,9.523809524,14.28571429,0,0,0.19047619,0.424
30.338,31.973,5391.55,0.929,4.20E-06,57.14285714,6.349206349,14.28571429,0,0,0.222222222,0.414
33.08,35.542,5801.34,0.936,4.55E-06,57.14285714,15.87301587,14.28571429,0,0,0.126984127,0.452
33.064,33.799,5643.05,0.935,4.37E-06,57.14285714,12.6984127,14.28571429,0,0,0.158730159,0.436
32.823,34.738,5176.93,0.932,4.11E-06,57.14285714,3.174603175,14.28571429,0,0,0.253968254,0.413
32.836,34.389,5053.11,0.93,4.00E-06,57.14285714,0,14.28571429,0,0,0.285714286,0.396
51.404,55.441,7462.48,0.97,8.74E-06,61.20689655,31.03448276,7.75862069,0,0,0,0.877
50.67,54.484,7397.96,0.968,8.55E-06,61.86440678,30.50847458,7.627118644,0,0,0,0.854
52.217,56.088,7792.88,0.97,8.81E-06,59.82142857,32.14285714,8.035714286,0,0,0,0.881
50.848,56.052,7690.63,0.969,8.60E-06,60.52631579,31.57894737,7.894736842,0,0,0,0.853
53.903,56.564,7397.67,0.967,8.51E-06,62.5,30,7.5,0,0,0,0.853
50.555,54.068,7306.46,0.968,8.28E-06,63.1147541,29.50819672,7.37704918,0,0,0,0.827
51.616,55.636,7322.61,0.968,8.48E-06,62.5,30,7.5,0,0,0,0.854
54.382,57.505,7234.54,0.968,8.41E-06,63.1147541,29.50819672,7.37704918,0,0,0,0.84
53.303,56.809,7554.05,0.968,8.65E-06,61.20689655,31.03448276,7.75862069,0,0,0,0.86
53.33,57.26,7492.39,0.967,8.49E-06,61.86440678,30.50847458,7.627118644,0,0,0,0.851
20.95,30.921,5545.02,0.936,4.24E-06,57.14285714,9.523809524,14.28571429,0,0,0.19047619,0.42
20.859,32.845,5076.1,0.933,3.97E-06,57.14285714,0,14.28571429,0,0,0.285714286,0.392
34.76,54.513,7325.09,0.969,8.46E-06,62.5,30,7.5,0,0,0,0.849
43.247,44.821,6567.46,0.953,6.21E-06,57.14285714,28.57142857,14.28571429,0,0,0,0.606
42.376,45.795,4970.9,0.944,4.31E-06,57.14285714,0,14.28571429,0,0,0.285714286,0.423
24.928,25.74,6754.74,0.915,4.31E-06,57.14285714,28.57142857,14.28571429,0,0,0,0.431
22.229,24.787,6221.97,0.912,3.93E-06,57.14285714,22.22222222,14.28571429,0,0,0.063492063,0.392
23.345,24.327,6176.7,0.911,3.96E-06,57.14285714,22.22222222,14.28571429,0,0,0.063492063,0.391
21.883,23.401,5791.54,0.907,3.64E-06,57.14285714,15.87301587,14.28571429,0,0,0.126984127,0.359
22.563,24.771,5712.55,0.907,3.65E-06,57.14285714,15.87301587,14.28571429,0,0,0.126984127,0.366
22.188,24.319,5391.64,0.904,3.41E-06,57.14285714,9.523809524,14.28571429,0,0,0.19047619,0.339
22.996,23.494,5363.3,0.903,3.42E-06,57.14285714,9.523809524,14.28571429,0,0,0.19047619,0.338
21.726,23.092,5127.03,0.899,3.18E-06,57.14285714,3.174603175,14.28571429,0,0,0.253968254,0.318
24.947,25.765,6477.85,0.913,4.11E-06,57.14285714,25.3968254,14.28571429,0,0,0.031746032,0.412
22.229,24.444,6053.69,0.909,3.77E-06,57.14285714,19.04761905,14.28571429,0,0,0.095238095,0.379
23.361,24.331,5981.98,0.909,3.80E-06,57.14285714,19.04761905,14.28571429,0,0,0.095238095,0.382
21.91,23.424,5619.08,0.905,3.52E-06,57.14285714,12.6984127,14.28571429,0,0,0.158730159,0.353
23.678,25.343,5559.89,0.906,3.53E-06,57.14285714,12.6984127,14.28571429,0,0,0.158730159,0.352
21.94,23.97,5252.27,0.9,3.27E-06,57.14285714,6.349206349,14.28571429,0,0,0.222222222,0.326
23.076,23.605,5210.75,0.901,3.31E-06,57.14285714,6.349206349,14.28571429,0,0,0.222222222,0.33
21.812,23.242,4998.34,0.897,3.10E-06,57.14285714,0,14.28571429,0,0,0.285714286,0.308
36.13,38.087,7834.71,0.958,6.74E-06,58.33333333,33.33333333,8.333333333,0,0,0,0.675
36.828,38.196,7680.95,0.957,6.57E-06,59.82142857,32.14285714,8.035714286,0,0,0,0.656
34.533,36.401,7646.55,0.956,6.46E-06,59.82142857,32.14285714,8.035714286,0,0,0,0.645
35.586,37.073,7477.51,0.954,6.34E-06,61.20689655,31.03448276,7.75862069,0,0,0,0.633
38.697,40.831,7539.06,0.956,6.48E-06,61.20689655,31.03448276,7.75862069,0,0,0,0.648
38.773,40.384,7360.4,0.953,6.30E-06,62.5,30,7.5,0,0,0,0.63
38.761,40.52,7324.08,0.953,6.31E-06,62.5,30,7.5,0,0,0,0.628
38.923,40.396,7151.24,0.951,6.16E-06,63.70967742,29.03225806,7.258064516,0,0,0,0.618
36.21,38.068,7797.82,0.956,6.64E-06,59.09090909,32.72727273,8.181818182,0,0,0,0.663
36.474,38.021,7585.56,0.956,6.47E-06,60.52631579,31.57894737,7.894736842,0,0,0,0.645
34.748,36.513,7572.83,0.954,6.39E-06,60.52631579,31.57894737,7.894736842,0,0,0,0.633
35.107,36.711,7385,0.953,6.24E-06,61.86440678,30.50847458,7.627118644,0,0,0,0.618
38.663,40.684,7450.61,0.954,6.39E-06,61.86440678,30.50847458,7.627118644,0,0,0,0.639
38.708,40.279,7280.95,0.952,6.23E-06,63.1147541,29.50819672,7.37704918,0,0,0,0.619
38.658,40.496,7251.04,0.952,6.23E-06,63.1147541,29.50819672,7.37704918,0,0,0,0.622
38.865,40.29,7098.24,0.95,6.09E-06,64.28571429,28.57142857,7.142857143,0,0,0,0.6
18.889,22.283,6748.81,0.914,4.31E-06,57.14285714,28.57142857,14.28571429,0,0,0,0.432
17.279,21.44,5158.53,0.908,3.35E-06,57.14285714,0,14.28571429,0,0,0.285714286,0.329
30.821,36.31,7979.4,0.963,7.34E-06,58.33333333,33.33333333,8.333333333,0,0,0,0.732
28.291,33.009,7074.59,0.948,6.04E-06,64.28571429,28.57142857,7.142857143,0,0,0,0.606
7.481,7.856,995.781,0.506,2.41E-06,57.14285714,28.57142857,14.28571429,0,0,0,0.229
6.615,7.104,801.343,0.478,2.48E-06,57.14285714,22.22222222,14.28571429,0,0,0.063492063,0.229
7.018,7.287,802.413,0.486,2.50E-06,57.14285714,22.22222222,14.28571429,0,0,0.063492063,0.234
6.673,7.099,660.101,0.462,2.31E-06,57.14285714,15.87301587,14.28571429,0,0,0.126984127,0.212
7.732,8.057,692.145,0.487,1.85E-06,57.14285714,9.523809524,14.28571429,0,0,0.19047619,0.178
7.993,8.39,681.57,0.491,1.68E-06,57.14285714,3.174603175,14.28571429,0,0,0.253968254,0.161
7.219,7.601,869.688,0.492,2.42E-06,57.14285714,25.3968254,14.28571429,0,0,0.031746032,0.228
5.904,6.298,712.896,0.463,2.63E-06,57.14285714,19.04761905,14.28571429,0,0,0.095238095,0.239
7.024,7.247,721.393,0.473,2.44E-06,57.14285714,19.04761905,14.28571429,0,0,0.095238095,0.225
6.071,6.315,595.966,0.449,2.39E-06,57.14285714,12.6984127,14.28571429,0,0,0.158730159,0.218
7.764,8.1,670.242,0.485,1.76E-06,57.14285714,6.349206349,14.28571429,0,0,0.222222222,0.167
8.111,8.449,684.184,0.495,1.66E-06,57.14285714,0,14.28571429,0,0,0.285714286,0.16
13.032,13.22,1601.08,0.634,1.65E-06,59.82142857,32.14285714,8.035714286,0,0,0,0.163
12.29,12.585,1406.53,0.592,1.30E-06,62.5,30,7.5,0,0,0,0.128
12.254,12.628,1328.05,0.589,1.21E-06,62.5,30,7.5,0,0,0,0.12
12.09,12.36,1254.13,0.573,1.07E-06,63.70967742,29.03225806,7.258064516,0,0,0,0.106
13.779,14.146,1641.48,0.639,1.68E-06,59.09090909,32.72727273,8.181818182,0,0,0,0.163
12.016,12.252,1453.34,0.603,1.41E-06,61.86440678,30.50847458,7.627118644,0,0,0,0.138
11.708,11.954,1359.42,0.584,1.22E-06,63.1147541,29.50819672,7.37704918,0,0,0,0.121
11.5,11.721,1208.95,0.566,1.00E-06,64.28571429,28.57142857,7.142857143,0,0,0,0.099
16.659,18.318,6953.01,0.907,4.06E-06,57.14285714,28.57142857,14.28571429,0,0,0,0.407
16.88,17.764,6458.83,0.904,3.81E-06,57.14285714,23.80952381,14.28571429,0,0,0.047619048,0.378
14.858,17.931,5470.79,0.895,3.25E-06,57.14285714,9.523809524,14.28571429,0,0,0.19047619,0.326
15.013,18.279,5170.56,0.894,3.11E-06,57.14285714,4.761904762,14.28571429,0,0,0.238095238,0.31
15.9,18.333,6534.1,0.904,3.81E-06,57.14285714,23.80952381,14.28571429,0,0,0.047619048,0.382
15.869,17.764,6095.53,0.902,3.59E-06,57.14285714,19.04761905,14.28571429,0,0,0.095238095,0.361
14.66,17.863,5288.15,0.892,3.08E-06,57.14285714,4.761904762,14.28571429,0,0,0.238095238,0.306
15.152,17.443,4995.5,0.891,2.97E-06,57.14285714,0,14.28571429,0,0,0.285714286,0.3
27.968,30.46,7979.38,0.956,6.54E-06,58.33333333,33.33333333,8.333333333,0,0,0,0.649
27.033,29.918,7833.71,0.954,6.39E-06,59.45945946,32.43243243,8.108108108,0,0,0,0.638
26.992,29.268,7436.04,0.948,6.05E-06,62.5,30,7.5,0,0,0,0.603
25.919,28.946,7376.77,0.947,5.98E-06,63.41463415,29.26829268,7.317073171,0,0,0,0.595
27.932,30.085,7821.19,0.954,6.39E-06,59.45945946,32.43243243,8.108108108,0,0,0,0.635
27.003,29.607,7686.28,0.952,6.26E-06,60.52631579,31.57894737,7.894736842,0,0,0,0.621
26.297,28.945,7349.35,0.947,5.95E-06,63.41463415,29.26829268,7.317073171,0,0,0,0.594
25.967,28.721,7262.27,0.945,5.89E-06,64.28571429,28.57142857,7.142857143,0,0,0,0.584
14.164,18.795,6656.28,0.9,3.99E-06,57.14285714,28.57142857,14.28571429,0,0,0,0.398
16.657,19.921,4974.86,0.894,3.03E-06,57.14285714,0,14.28571429,0,0,0.285714286,0.302
31.129,34.199,7854.03,0.958,6.79E-06,58.33333333,33.33333333,8.333333333,0,0,0,0.68
22.446,29.504,7067.77,0.942,5.53E-06,64.28571429,28.57142857,7.142857143,0,0,0,0.549
6.703,10.253,5462.12,0.81,3.31E-06,57.14285714,9.523809524,14.28571429,0,0,0.19047619,0.329
6.801,9.99,5187.22,0.799,3.23E-06,57.14285714,4.761904762,14.28571429,0,0,0.238095238,0.318
10.889,13.442,3923.01,0.798,3.04E-06,57.14285714,23.80952381,14.28571429,0,0,0.047619048,0.301
11.176,13.641,3602.79,0.798,2.97E-06,57.14285714,19.04761905,14.28571429,0,0,0.095238095,0.295
12.287,13.884,3465.75,0.8,2.79E-06,57.14285714,4.761904762,14.28571429,0,0,0.238095238,0.274
12.552,13.844,3307.55,0.794,2.69E-06,57.14285714,0,14.28571429,0,0,0.285714286,0.266
12.575,16.964,8020.2,0.919,4.33E-06,58.33333333,33.33333333,8.333333333,0,0,0,0.435
12.641,16.4,7849.14,0.916,4.32E-06,59.45945946,32.43243243,8.108108108,0,0,0,0.433
11.912,15.206,7385.41,0.899,4.14E-06,62.5,30,7.5,0,0,0,0.415
11.95,15.049,7202.76,0.894,4.13E-06,63.41463415,29.26829268,7.317073171,0,0,0,0.411
12.314,16.946,7821.64,0.915,4.29E-06,59.45945946,32.43243243,8.108108108,0,0,0,0.431
12.298,16.362,7623.87,0.913,4.28E-06,60.52631579,31.57894737,7.894736842,0,0,0,0.428
11.15,15.731,7258.92,0.897,4.13E-06,63.41463415,29.26829268,7.317073171,0,0,0,0.404
11.638,15.504,7152.25,0.892,4.12E-06,64.28571429,28.57142857,7.142857143,0,0,0,0.416
22.291,30.809,7575.77,0.964,6.64E-06,57.14285714,23.80952381,9.523809524,9.523809524,0,0,0.665
7.52,7.878,970.213,0.504,2.38E-06,57.14285714,28.57142857,14.28571429,0,0,0,0.228
7.459,7.813,812.901,0.481,2.47E-06,57.14285714,23.80952381,14.28571429,0,0,0.047619048,0.229
20.201,21.345,5306.04,0.904,3.24E-06,57.14285714,4.761904762,14.28571429,0,0,0.238095238,0.318
7.358,7.783,820.87,0.483,2.51E-06,57.14285714,23.80952381,14.28571429,0,0,0.047619048,0.232
7.983,8.158,691.757,0.493,1.72E-06,57.14285714,4.761904762,14.28571429,0,0,0.238095238,0.164
18.869,21.06,5034.43,0.902,3.13E-06,57.14285714,0,14.28571429,0,0,0.285714286,0.313
32.824,33.943,8017.86,0.959,6.96E-06,58.33333333,33.33333333,8.333333333,0,0,0,0.691
13.942,14.109,1627.21,0.634,1.67E-06,59.45945946,32.43243243,8.108108108,0,0,0,0.166
11.621,11.876,1354.47,0.589,1.27E-06,62.5,30,7.5,0,0,0,0.126
13.908,14.178,1615.97,0.634,1.68E-06,59.45945946,32.43243243,8.108108108,0,0,0,0.166
11.692,12.078,1287.46,0.577,1.14E-06,63.41463415,29.26829268,7.317073171,0,0,0,0.113
29.188,29.253,1784.96,0.766,1.64E-06,57.14285714,23.80952381,9.523809524,9.523809524,0,0,0.163
14.621,24.614,6893.06,0.91,4.29E-06,58.62068966,31.03448276,10.34482759,0,0,0,0.428
15.687,22.386,5917.24,0.905,3.61E-06,58.62068966,17.24137931,10.34482759,0,0,0.137931034,0.358
14.662,24.664,6818.01,0.911,4.19E-06,57.14285714,28.57142857,14.28571429,0,0,0,0.418
15.553,21.101,5862.6,0.904,3.50E-06,57.14285714,14.28571429,14.28571429,0,0,0.142857143,0.348
14.281,23.465,6721.11,0.907,4.13E-06,57.14285714,28.57142857,14.28571429,0,0,0,0.414
15.709,22.231,5843.09,0.904,3.50E-06,57.14285714,14.28571429,14.28571429,0,0,0.142857143,0.344
14.533,23.187,5670.67,0.901,3.48E-06,57.14285714,14.28571429,14.28571429,0,0,0.142857143,0.344
15.779,19.551,4963.87,0.896,3.08E-06,57.14285714,0,14.28571429,0,0,0.285714286,0.31
28.269,35.608,8003.76,0.959,6.82E-06,58.33333333,33.33333333,8.333333333,0,0,0,0.687
23.869,38.046,7477.38,0.952,6.17E-06,61.53846154,30.76923077,7.692307692,0,0,0,0.616
25.951,38.808,7575.69,0.954,6.37E-06,61.53846154,30.76923077,7.692307692,0,0,0,0.628
21.86,35.643,7101.38,0.945,5.75E-06,64.28571429,28.57142857,7.142857143,0,0,0,0.568
13.858,18.291,6693.71,0.898,4.04E-06,57.14285714,28.57142857,14.28571429,0,0,0,0.406
12.936,18.045,6183.4,0.893,3.68E-06,57.14285714,22.22222222,14.28571429,0,0,0.063492063,0.372
15.231,21.785,6278.29,0.908,3.84E-06,57.14285714,22.22222222,14.28571429,0,0,0.063492063,0.387
15.154,21.528,5827.66,0.904,3.54E-06,57.14285714,15.87301587,14.28571429,0,0,0.126984127,0.353
15.331,20.199,5778.34,0.9,3.51E-06,57.14285714,15.87301587,14.28571429,0,0,0.126984127,0.35
14.702,20.234,5524.34,0.898,3.28E-06,57.14285714,9.523809524,14.28571429,0,0,0.19047619,0.326
15.454,23.228,5460.94,0.903,3.37E-06,57.14285714,9.523809524,14.28571429,0,0,0.19047619,0.336
15.49,22.978,5087.91,0.901,3.19E-06,57.14285714,3.174603175,14.28571429,0,0,0.253968254,0.317
14.457,18.079,6382.01,0.896,3.86E-06,57.14285714,25.3968254,14.28571429,0,0,0.031746032,0.387
13.801,17.868,5943.67,0.89,3.54E-06,57.14285714,19.04761905,14.28571429,0,0,0.095238095,0.355
14.84,20.895,5946.34,0.905,3.70E-06,57.14285714,19.04761905,14.28571429,0,0,0.095238095,0.371
15.394,20.541,5630.44,0.901,3.41E-06,57.14285714,12.6984127,14.28571429,0,0,0.158730159,0.341
14.552,20.14,5238.76,0.896,3.21E-06,57.14285714,6.349206349,14.28571429,0,0,0.222222222,0.319
15.078,22.195,5280.7,0.901,3.26E-06,57.14285714,6.349206349,14.28571429,0,0,0.222222222,0.323
15.153,22.381,4998.56,0.898,3.08E-06,57.14285714,0,14.28571429,0,0,0.285714286,0.306
26.771,37.66,7974.43,0.959,6.81E-06,58.33333333,33.33333333,8.333333333,0,0,0,0.68
26.27,38.118,7740.67,0.957,6.60E-06,59.82142857,32.14285714,8.035714286,0,0,0,0.658
24.946,32.16,7707.23,0.952,6.26E-06,59.82142857,32.14285714,8.035714286,0,0,0,0.627
24.482,32.534,7536.79,0.95,6.13E-06,61.20689655,31.03448276,7.75862069,0,0,0,0.599
23.918,32.994,7521.68,0.952,6.16E-06,61.20689655,31.03448276,7.75862069,0,0,0,0.618
23.631,32.813,7351.6,0.95,6.01E-06,62.5,30,7.5,0,0,0,0.603
21.357,26.836,7253.03,0.941,5.60E-06,62.5,30,7.5,0,0,0,0.561
21.241,26.92,7123.74,0.939,5.49E-06,63.70967742,29.03225806,7.258064516,0,0,0,0.549
26.661,37.478,7807.55,0.958,6.70E-06,59.09090909,32.72727273,8.181818182,0,0,0,0.664
26.205,37.98,7633.39,0.956,6.51E-06,60.52631579,31.57894737,7.894736842,0,0,0,0.646
24.896,32.14,7607.52,0.951,6.18E-06,60.52631579,31.57894737,7.894736842,0,0,0,0.616
24.415,32.52,7413.92,0.949,6.05E-06,61.86440678,30.50847458,7.627118644,0,0,0,0.604
23.955,33.373,7425.43,0.952,6.12E-06,61.86440678,30.50847458,7.627118644,0,0,0,0.612
23.728,33.11,7283.42,0.95,5.97E-06,63.1147541,29.50819672,7.37704918,0,0,0,0.597
21.538,27.349,7200.9,0.941,5.58E-06,63.1147541,29.50819672,7.37704918,0,0,0,0.552
21.415,27.382,7087.6,0.938,5.47E-06,64.28571429,28.57142857,7.142857143,0,0,0,0.546
28.364,28.456,6721.91,0.916,4.40E-06,57.14285714,28.57142857,14.28571429,0,0,0,0.439
25.798,26.071,5949.75,0.911,3.84E-06,57.14285714,19.04761905,14.28571429,0,0,0.095238095,0.378
27.11,27.589,5965.45,0.911,3.87E-06,57.14285714,19.04761905,14.28571429,0,0,0.095238095,0.385
25.926,26.15,5398.08,0.905,3.45E-06,57.14285714,9.523809524,14.28571429,0,0,0.19047619,0.346
28.181,28.327,5897.29,0.91,3.81E-06,57.14285714,19.04761905,14.28571429,0,0,0.095238095,0.38
25.287,26.337,5457.88,0.903,3.46E-06,57.14285714,9.523809524,14.28571429,0,0,0.19047619,0.345
26.886,28.406,5371.2,0.905,3.46E-06,57.14285714,9.523809524,14.28571429,0,0,0.19047619,0.347
24.625,25.497,5081.51,0.897,3.14E-06,57.14285714,0,14.28571429,0,0,0.285714286,0.314
44.196,44.483,7812.13,0.961,7.02E-06,58.33333333,33.33333333,8.333333333,0,0,0,0.707
44.292,44.465,7577.1,0.958,6.67E-06,60.52631579,31.57894737,7.894736842,0,0,0,0.662
43.941,44.251,7544.59,0.958,6.70E-06,60.52631579,31.57894737,7.894736842,0,0,0,0.66
44.292,44.393,7330.28,0.955,6.43E-06,62.5,30,7.5,0,0,0,0.638
43.896,44.254,7470.95,0.959,6.72E-06,60.52631579,31.57894737,7.894736842,0,0,0,0.677
44.28,44.465,7210.41,0.956,6.45E-06,62.5,30,7.5,0,0,0,0.638
43.998,44.115,7288.98,0.956,6.46E-06,62.5,30,7.5,0,0,0,0.648
44.32,44.392,7044.53,0.953,6.22E-06,64.28571429,28.57142857,7.142857143,0,0,0,0.619
15.184,21.517,6858.61,0.909,4.12E-06,57.14285714,28.57142857,14.28571429,0,0,0,0.41
14.107,20.96,5031.04,0.894,2.99E-06,57.14285714,0,14.28571429,0,0,0.285714286,0.296
26.474,35.932,7930.04,0.958,6.64E-06,58.33333333,33.33333333,8.333333333,0,0,0,0.664
24.432,34.029,7206.29,0.948,5.90E-06,64.28571429,28.57142857,7.142857143,0,0,0,0.588
15.686,23.779,6865.05,0.907,4.09E-06,57.14285714,28.57142857,14.28571429,0,0,0,0.406
14.853,23.823,6473.49,0.904,3.83E-06,57.14285714,23.80952381,14.28571429,0,0,0.047619048,0.379
13.748,22.081,5407.54,0.895,3.26E-06,57.14285714,9.523809524,14.28571429,0,0,0.19047619,0.327
13.737,22.478,5142.39,0.892,3.12E-06,57.14285714,4.761904762,14.28571429,0,0,0.238095238,0.311
14.999,21.844,6417.85,0.904,3.84E-06,57.14285714,23.80952381,14.28571429,0,0,0.047619048,0.386
14.834,21.846,6073.77,0.902,3.62E-06,57.14285714,19.04761905,14.28571429,0,0,0.095238095,0.361
13.673,20.995,5178.1,0.892,3.11E-06,57.14285714,4.761904762,14.28571429,0,0,0.238095238,0.312
13.492,21.445,4966.24,0.889,2.97E-06,57.14285714,0,14.28571429,0,0,0.285714286,0.296
25.286,36.982,7891.86,0.956,6.53E-06,58.33333333,33.33333333,8.333333333,0,0,0,0.652
25.175,36.911,7777.08,0.954,6.39E-06,59.45945946,32.43243243,8.108108108,0,0,0,0.634
24.991,37.499,7415.14,0.949,6.05E-06,62.5,30,7.5,0,0,0,0.609
25.023,37.39,7286.96,0.947,5.94E-06,63.41463415,29.26829268,7.317073171,0,0,0,0.591
25.139,36.535,7776.1,0.954,6.38E-06,59.45945946,32.43243243,8.108108108,0,0,0,0.636
25.054,36.513,7641.97,0.952,6.25E-06,60.52631579,31.57894737,7.894736842,0,0,0,0.627
24.177,37.572,7297.93,0.947,5.95E-06,63.41463415,29.26829268,7.317073171,0,0,0,0.595
24.195,37.472,7205.01,0.945,5.85E-06,64.28571429,28.57142857,7.142857143,0,0,0,0.582
20.04,25.632,6771.02,0.908,4.15E-06,57.14285714,28.57142857,14.28571429,0,0,0,0.414
18.685,23.314,6215.53,0.904,3.80E-06,57.14285714,22.22222222,14.28571429,0,0,0.063492063,0.378
20.119,24.219,6197.73,0.905,3.80E-06,57.14285714,22.22222222,14.28571429,0,0,0.063492063,0.38
18.084,22.832,5771.06,0.901,3.51E-06,57.14285714,15.87301587,14.28571429,0,0,0.126984127,0.352
18.947,24.847,5736.78,0.901,3.52E-06,57.14285714,15.87301587,14.28571429,0,0,0.126984127,0.353
18.759,23.586,5334.63,0.896,3.29E-06,57.14285714,9.523809524,14.28571429,0,0,0.19047619,0.327
18.81,22.358,5149.05,0.894,3.07E-06,57.14285714,3.174603175,14.28571429,0,0,0.253968254,0.304
19.966,25.671,6468.24,0.906,3.95E-06,57.14285714,25.3968254,14.28571429,0,0,0.031746032,0.394
18.806,24.073,5972.49,0.902,3.66E-06,57.14285714,19.04761905,14.28571429,0,0,0.095238095,0.37
20.054,23.645,5973.02,0.902,3.65E-06,57.14285714,19.04761905,14.28571429,0,0,0.095238095,0.365
19.005,24.864,5488.93,0.899,3.42E-06,57.14285714,12.6984127,14.28571429,0,0,0.158730159,0.34
18.447,22.959,5202.45,0.895,3.18E-06,57.14285714,6.349206349,14.28571429,0,0,0.222222222,0.319
19.041,23.147,5216.62,0.896,3.18E-06,57.14285714,6.349206349,14.28571429,0,0,0.222222222,0.313
18.7,22.293,5000.79,0.892,2.98E-06,57.14285714,0,14.28571429,0,0,0.285714286,0.301
32.435,37.494,7871.79,0.956,6.58E-06,58.33333333,33.33333333,8.333333333,0,0,0,0.654
33.014,37.891,7685.68,0.954,6.39E-06,59.82142857,32.14285714,8.035714286,0,0,0,0.638
33.314,38.325,7647.85,0.954,6.37E-06,59.82142857,32.14285714,8.035714286,0,0,0,0.642
33.307,38.895,7513.26,0.952,6.21E-06,61.20689655,31.03448276,7.75862069,0,0,0,0.615
30.989,39.441,7489.4,0.951,6.21E-06,61.20689655,31.03448276,7.75862069,0,0,0,0.616
31.319,39.926,7382.21,0.949,6.06E-06,62.5,30,7.5,0,0,0,0.608
31.169,40.057,7371.79,0.949,6.06E-06,62.5,30,7.5,0,0,0,0.606
31.278,40.124,7171.35,0.947,5.92E-06,63.70967742,29.03225806,7.258064516,0,0,0,0.592
31.785,36.841,7764.96,0.954,6.47E-06,59.09090909,32.72727273,8.181818182,0,0,0,0.636
32.202,37.053,7570.34,0.952,6.29E-06,60.52631579,31.57894737,7.894736842,0,0,0,0.623
33.338,38.224,7556.66,0.953,6.29E-06,60.52631579,31.57894737,7.894736842,0,0,0,0.629
33.325,38.776,7402.71,0.95,6.13E-06,61.86440678,30.50847458,7.627118644,0,0,0,0.616
31.184,39.947,7411.83,0.95,6.14E-06,61.86440678,30.50847458,7.627118644,0,0,0,0.61
31.128,39.596,7296.91,0.949,6.00E-06,63.1147541,29.50819672,7.37704918,0,0,0,0.601
31.204,39.943,7269.01,0.948,5.99E-06,63.1147541,29.50819672,7.37704918,0,0,0,0.599
31.315,40.112,7151.56,0.946,5.86E-06,64.28571429,28.57142857,7.142857143,0,0,0,0.581
15.786,20.765,6846.38,0.908,4.10E-06,57.14285714,28.57142857,14.28571429,0,0,0,0.404
15.558,20.698,6271.6,0.904,3.76E-06,57.14285714,22.22222222,14.28571429,0,0,0.063492063,0.378
15.426,21.603,6331.47,0.905,3.78E-06,57.14285714,22.22222222,14.28571429,0,0,0.063492063,0.377
15.582,20.792,5867.61,0.902,3.48E-06,57.14285714,15.87301587,14.28571429,0,0,0.126984127,0.348
15.616,19.873,5702.93,0.9,3.50E-06,57.14285714,15.87301587,14.28571429,0,0,0.126984127,0.348
15.545,21.319,5355.25,0.899,3.29E-06,57.14285714,9.523809524,14.28571429,0,0,0.19047619,0.326
15.091,21.513,5055.89,0.895,3.10E-06,57.14285714,3.174603175,14.28571429,0,0,0.253968254,0.308
15.22,20.223,6499.94,0.905,3.89E-06,57.14285714,25.3968254,14.28571429,0,0,0.031746032,0.387
14.801,19.785,6014.57,0.9,3.60E-06,57.14285714,19.04761905,14.28571429,0,0,0.095238095,0.357
15.589,21.658,5999.53,0.903,3.64E-06,57.14285714,19.04761905,14.28571429,0,0,0.095238095,0.362
15.303,20.664,5591.12,0.901,3.38E-06,57.14285714,12.6984127,14.28571429,0,0,0.158730159,0.336
15.218,19.91,5625.04,0.899,3.36E-06,57.14285714,12.6984127,14.28571429,0,0,0.158730159,0.333
14.271,19.752,5269.44,0.894,3.15E-06,57.14285714,6.349206349,14.28571429,0,0,0.222222222,0.316
14.94,21.245,5196.03,0.896,3.19E-06,57.14285714,6.349206349,14.28571429,0,0,0.222222222,0.318
15.015,21.207,4918.58,0.893,3.01E-06,57.14285714,0,14.28571429,0,0,0.285714286,0.301
26.46,35.751,7905,0.957,6.62E-06,58.33333333,33.33333333,8.333333333,0,0,0,0.658
26.144,35.963,7740.8,0.955,6.42E-06,59.82142857,32.14285714,8.035714286,0,0,0,0.637
